 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Unidade da Federação
Período:2017
"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"072 BCG";98,38;95,75;93,81;116,86;84,67;97,17;105,14;98,67;96,09;108,49;66,48;102,56;97,30;110,27;97,86;86,19;93,60;90,46;114,98;100,51;95,73;85,25;91,54;105,94;95,96;91,39;98,58;97,12
"099 Hepatite B  em crianças até 30 dias";90,57;81,11;85,42;114,02;74,00;86,04;91,53;87,51;89,97;98,46;60,24;84,10;86,37;90,62;93,94;75,47;80,60;82,06;94,32;91,37;74,95;77,97;75,94;92,43;87,15;73,49;109,68;85,20
"061 Rotavírus Humano";94,87;75,98;74,27;89,75;64,75;71,75;89,01;70,61;76,85;102,11;68,99;84,61;83,08;84,41;81,75;74,70;88,58;83,18;83,36;90,16;89,07;92,50;84,69;92,83;83,46;88,41;90,99;84,65
"053 Meningococo C";95,55;78,66;81,21;87,35;71,14;72,15;89,94;76,28;80,81;103,07;70,95;85,17;85,31;88,92;83,41;80,99;89,16;81,38;91,13;89,28;91,59;96,25;88,03;93,41;87,78;87,38;87,77;87,04
"073 Hepatite B";110,82;73,54;78,27;91,46;62,24;63,60;86,78;75,17;78,44;98,66;70,30;83,29;87,64;82,62;80,47;78,43;90,67;84,23;94,87;89,43;95,15;87,66;86,52;93,99;86,84;82,85;89,63;86,29
"080 Penta";109,25;72,57;75,82;90,53;61,02;60,94;85,80;72,22;75,49;96,01;68,55;82,12;85,69;81,06;80,08;75,95;86,74;80,36;93,64;86,67;89,94;84,66;83,64;92,44;85,70;81,24;89,23;83,78
"012 Pneumocócica";108,00;84,57;86,40;96,87;76,10;73,78;93,10;82,04;84,60;108,37;76,14;90,81;91,41;91,68;87,14;84,61;92,05;88,10;97,18;95,24;94,33;89,74;91,03;98,68;91,69;90,65;95,29;91,56
"074 Poliomielite";108,61;73,88;76,30;87,52;67,18;63,88;85,93;72,80;77,67;96,57;69,04;82,07;84,38;82,65;79,04;77,27;86,50;81,32;88,92;87,21;89,73;90,64;85,60;91,11;84,56;83,74;88,47;84,27
"100 Poliomielite 4 anos";0,03;2,20;0,23;0,43;0,04;10,81;0,03;2,46;0,45;1,02;0,42;0,76;0,76;1,22;0,18;0,20;0,11;0,66;0,25;0,94;0,26;0,27;0,45;0,54;0,63;0,34;0,22;0,62
"006 Febre Amarela";109,72;62,74;70,35;87,12;58,66;62,34;73,18;63,23;69,77;0,57;0,37;0,89;0,70;0,80;0,33;72,08;81,65;61,33;26,19;23,46;68,95;28,75;55,56;84,74;83,08;76,05;82,42;46,46
"096 Hepatite A";87,45;69,47;79,94;90,29;67,50;69,18;87,84;72,03;80,06;96,40;66,93;88,06;85,73;91,58;80,90;76,49;90,22;76,69;89,42;80,29;90,27;83,98;82,56;88,88;86,12;84,63;90,38;83,05
"091 Pneumocócica(1º ref)";85,11;69,32;78,37;89,34;63,91;66,98;82,67;70,43;78,31;94,13;69,03;78,16;81,75;85,74;80,19;71,50;83,89;78,70;84,50;78,32;85,47;82,05;81,42;88,26;79,69;79,57;83,59;79,66
"092 Meningococo C (1º ref)";89,02;74,17;82,04;86,40;68,41;70,71;88,29;73,84;81,11;95,39;69,19;77,18;82,94;84,20;81,91;76,84;86,47;79,36;82,82;81,35;87,81;87,69;84,33;87,90;83,90;83,69;83,50;82,13
"093 Poliomielite(1º ref)";81,79;64,93;67,91;92,01;56,90;30,53;81,51;64,44;76,56;90,78;65,57;75,43;80,56;85,41;75,20;67,57;84,72;77,19;81,20;81,56;81,33;85,90;78,47;84,80;81,14;78,26;85,34;78,06
